選區,政黨,候選人,FB,wikidata id,Line,IG,登記日期
臺北市第五選舉區,台灣基進,葉日勤,,,,,2019/11/18
臺北市第六選舉區,台灣維新,沈宜璇,https://www.facebook.com/evadancetw/,,,,
臺北市第七選舉區,中國國民黨,費鴻泰,https://www.facebook.com/%E8%B2%BB%E9%B4%BB%E6%B3%B0%E9%98%BF%E5%8A%9B%E5%85%8B%E5%8F%B8-893657620668012/,,,,2019/11/18
臺北市第七選舉區,民主進步黨,許淑華,https://www.facebook.com/shua0522/,Q8349100,,,
臺北市第七選舉區,台灣民眾黨,蔡宜芳,https://www.facebook.com/Tsai.Yi.Fang.Amy/,,,,
臺北市第七選舉區,安定力量,洪正一,https://www.facebook.com/5PlusOne2020/,,,,
臺北市第七選舉區,無黨籍,池國樑,https://www.facebook.com/2020-%E6%B1%A0-%E5%9C%8B%E6%A8%91-%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1-%E5%80%99%E9%81%B8%E4%BA%BA-792063027833034/,,,,
臺北市第七選舉區,時代力量,陳雨凡,https://www.facebook.com/voteufan/,,,,
臺北市第七選舉區,台灣基進,王映心,https://www.facebook.com/ongiongsim/,,,,2019/11/18
臺北市第八選舉區,中國國民黨,賴士葆,https://www.facebook.com/%E8%B3%B4%E5%A3%AB%E8%91%86-1573873889493647/,Q8275493,,,
臺北市第八選舉區,民主進步黨,阮昭雄,https://www.facebook.com/%E9%98%AE%E6%98%AD%E9%9B%84-228234588681/,Q8351790,,,
臺北市第八選舉區,台灣基進,顏銘緯,https://www.facebook.com/weifortw/,Q18165312,,,2019/11/18
臺北市第八選舉區,台灣民眾黨,張幸松,https://www.facebook.com/shingsong1106/,,,,
臺北市第八選舉區,無黨籍,郭子軒,,,,,2019/11/18
新北市第一選舉區,中國國民黨,洪孟楷,https://www.facebook.com/MongKaiHUNG/?ref=br_rs,Q28417359,,,
新北市第一選舉區,民主進步黨,呂孫綾,https://www.facebook.com/shirleylu312/,Q16928868,,,2019/11/18
新北市第一選舉區,時代力量,張衞航,https://www.facebook.com/%E5%BC%B5%E8%A1%9E%E8%88%AA%E5%BE%8B%E5%B8%AB-470500560373820/,,,,
新北市第一選舉區,安定力量,郭大衛,,,,,
新北市第一選舉區,無黨籍,陳昭宏,https://www.facebook.com/%E7%AC%AC10%E5%B1%86%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E9%81%B8%E8%88%89%E6%96%B0%E5%8C%97%E5%B8%82%E7%AC%AC1%E9%81%B8%E5%8D%80%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA-%E9%99%B3%E6%98%AD%E5%AE%8F-335926227073451/,,,,
新北市第一選舉區,無黨籍,歐崇敬,,,,,2019/11/18
新北市第一選舉區,無黨籍,張立蔭,,,,,2019/11/18
新北市第二選舉區,中國國民黨,黃桂蘭,https://www.facebook.com/newtaipeifirefly/,,,,
新北市第二選舉區,民主進步黨,林淑芬,https://www.facebook.com/linshufen.fans/,Q8357162,,,
新北市第二選舉區,無黨籍,羅和讚,https://www.facebook.com/%E7%BE%85%E5%92%8C%E8%AE%9A-%E4%B8%89%E9%87%8D%E5%8D%80%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA-126304108770584/,,,,
新北市第三選舉區,無黨籍,李翁月娥,https://www.facebook.com/yourliweng/,Q28417334,,,
新北市第三選舉區,民主進步黨,余天,https://www.facebook.com/yutian.fans/,Q8350626,,,2019/11/18
新北市第三選舉區,台灣民眾黨,李旻蔚,https://www.facebook.com/SanchongGirl/,,,,2019/11/18
新北市第三選舉區,台灣維新,林泰龍,https://www.facebook.com/GoodTimeLong/,,,,
新北市第三選舉區,無黨籍,蘇卿彥,https://www.facebook.com/109%E5%B9%B4%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E6%93%AC%E5%8F%83%E9%81%B8%E4%BA%BA%E8%98%87%E5%8D%BF%E5%BD%A5%E6%BA%9D%E9%80%9A%E5%B9%B3%E5%8F%B0-1561240837455149/,,,,2019/11/18
新北市第三選舉區,無黨籍,羅和讚,https://www.facebook.com/%E7%BE%85%E5%92%8C%E8%AE%9A-%E4%B8%89%E9%87%8D%E5%8D%80%E7%AB%8B%E6%B3%95%E5%A7%94%E5%93%A1%E5%8F%83%E9%81%B8%E4%BA%BA-126304108770584/,,,,2019/11/18
新北市第四選舉區,中國國民黨,陳明義,https://www.facebook.com/imingyi/,Q15955832,,,
新北市第四選舉區,民主進步黨,吳秉叡,https://www.facebook.com/Wubray/,Q8350478,,,2019/11/18
新北市第四選舉區,中國生產黨,賀樺,,,,,
新北市第四選舉區,安定力量,陳俊憲,,,,,
新北市第四選舉區,國會政黨聯盟,王斯儀,https://www.facebook.com/sunny.wang.940436,,,,2019/11/18
